ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000009851,0.48,0,0,0,0,4.41,0,0
ENSMLUG00000016931,15.57,17.8,23.66,13.21,16.29,24.58,22.41,14.74
ENSMLUG00000002116,0,0,3.63,4.22,27.01,0,22.92,10.95
ENSMLUG00000012158,17.68,8.29,7.23,9.05,11.9,16.47,11.2,11.97
ENSMLUG00000007699,9.94,5.09,6.37,1.05,11.34,18.63,5.47,4.93
ENSMLUG00000006583,32.24,12.53,8.29,9.36,15.72,30.59,0,17.49
ENSMLUG00000025318,20.57,0,9.36,12.21,35.46,24.87,33.36,19.49
ENSMLUG00000003601,0,3.75,0,3.04,8.5,0,0,4.08
ENSMLUG00000009753,48.32,25.33,33.99,38.78,45.49,21.91,27.43,15.59
ENSMLUG00000002213,41.46,26.41,18.25,10.64,24.44,16.25,20.43,6.41
ENSMLUG00000030190,64.96,100.44,0,34.21,0,0,64.36,35.64
ENSMLUG00000002995,0,0,13.32,11.62,23.34,0,0,0
ENSMLUG00000016949,33.2,23.97,50.9,54.99,16.25,32.48,41.41,27.12
ENSMLUG00000010815,31.12,19.29,111.18,80,22.8,49.42,26.61,13.25
ENSMLUG00000012385,116.9,127.18,0,58.27,97.79,42.28,154.79,88.27
ENSMLUG00000009325,318.79,151.59,375.08,248.52,360.1,438.09,419.91,296.83
ENSMLUG00000027369,133.09,396.95,97.38,115.75,134.24,148.6,279.55,235.23
ENSMLUG00000008519,14.38,8.01,6.68,5.19,13.93,11.28,29.09,21.15
ENSMLUG00000009390,0,3.87,2.8,0,0,2.65,0,4.12
ENSMLUG00000010890,21.53,17.69,33.62,38.31,43.32,51.12,36.95,62.65
ENSMLUG00000017643,0,33.61,0,0,0,103.65,39.54,4.81
ENSMLUG00000011093,42.6,29.94,32.34,36.38,54.69,19.55,22.77,9
ENSMLUG00000011766,331.94,278.47,92.08,71.98,318.09,241.25,560.39,286.24
ENSMLUG00000007445,0,2.83,0,0,0,25.96,0,3
ENSMLUG00000009339,236.01,186.76,185.33,74.4,142.13,99.5,272.22,137.65
